Filename,"Asset ID","Folder ID",CUSTOMFIELD1,CUSTOMFIELD20,CUSTOMFIELD21,CUSTOMFIELD22,CUSTOMFIELD23,CUSTOMFIELD24,CUSTOMFIELD25,CUSTOMFIELD26,CUSTOMFIELD27,CUSTOMFIELD28,CUSTOMFIELD29,CUSTOMFIELD30,CUSTOMFIELD31,CUSTOMFIELD32,CUSTOMFIELD33,CUSTOMFIELD34,CUSTOMFIELD35,CUSTOMFIELD36,CUSTOMFIELD40,CUSTOMFIELD52,CUSTOMFIELD53,CUSTOMFIELD54,Width,Height,KEYWORD
DSC03902.jpg,98800752,6861562,New,"Related Companies",,,,,,,,,,"Photography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Manali Doshi was a former Related employee who worked as a Graphic Designer in the New York office. She captured this event.",5/10/18,11/20/19,3064,5456,"Photographs,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
DSC03902.JPG,98800752,6861562,New,"Related Companies",,,,,,,,,,"Photography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Manali Doshi was a former Related employee who worked as a Graphic Designer in the New York office. She captured this event.",5/10/18,11/20/19,5456,3064,"Photographs,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
86D9B29E-0A58-4793-BCD2-FDF09D237439.jpg,98800751,6861562,New,"Related Companies",,,,,,,,,,"Photography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Manali Doshi was a former Related employee who worked as a Graphic Designer in the New York office. She captured this event.",5/10/18,11/20/19,2448,3264,"Photographs,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
IMG_3801.m4v,98800750,6861592,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,,,"Photographs,Events,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3830.jpg,98800748,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02833.jpg,98800747,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3663,5494,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02783.jpg,98800744,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,6000,4000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02716.jpg,98800743,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,6000,4000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4556.JPG,98800742,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet"
IMG_4576.JPG,98800741,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet"
IMG_3898.jpg,98800738,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02821.jpg,98800737,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,5670,3780,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3805.jpg,98800736,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3813.jpg,98800735,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,3024,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02779.jpg,98800734,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,4000,6000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4524.JPG,98800733,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
IMG_3843.jpg,98800732,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4528.JPG,98800731,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet"
IMG_4590.JPG,98800730,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet"
IMG_4484.JPG,98800728,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
IMG_3946.jpg,98800727,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4518.JPG,98800726,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
6C848A5E-7C6A-40F8-B0DF-8070345D6599.jpg,98800724,6861562,New,"Related Companies",,,,,,,,,,"Photography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Manali Doshi was a former Related employee who worked as a Graphic Designer in the New York office. She captured this event.",5/10/18,11/20/19,2448,3264,"Photographs,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
DSC03904.jpg,98800722,6861562,New,"Related Companies",,,,,,,,,,"Photography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Manali Doshi was a former Related employee who worked as a Graphic Designer in the New York office. She captured this event.",5/10/18,11/20/19,3064,5456,"Photographs,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
DSC03904.JPG,98800722,6861562,New,"Related Companies",,,,,,,,,,"Photography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Manali Doshi was a former Related employee who worked as a Graphic Designer in the New York office. She captured this event.",5/10/18,11/20/19,5456,3064,"Photographs,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
IMG_4500.JPG,98800721,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
IMG_3861.jpg,98800720,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3975.jpg,98800719,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4494.JPG,98800717,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
IMG_1761.MOV,98800716,6861572,New,"Related Companies",,,,,,,,,,"Videography taken for social media posts. This event featured catered food by Fuku and was open to the public. People were encouraged to fill in the artwork 'Playground' with whatever colors they desired, and add their wishes to the 'WISH TREE.' The event ran from 5/10/18 - 5/13/18. It took place underneath The High Line, and at the entrance of 10HY. Wells Fargo sponsored Art on the Plaza. It was  curated by Culture Corps. Art by Jon Burgerman a",,,,,,,,"Verica Nakeva was a former Marketing intern from January 2018 - May 2018. She captured this event.",5/10/18,11/21/19,1080,1920,"Videos,Events Internal,Approved,Office,Wells Fargo Securities,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
DSC02834.jpg,98800715,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,4000,6000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3916.jpg,98800714,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02783_1.jpg,98800713,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,6000,4000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02750.jpg,98800712,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,6000,4000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3891.jpg,98800711,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02797.jpg,98800710,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,6000,4000,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
DSC02829.jpg,98800709,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3824,4696,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4534.JPG,98800708,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet"
IMG_3973.jpg,98800707,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3970.jpg,98800706,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_3792.jpg,98800705,6861584,New,"Elland Road Partners",,,,,,,,,,"Prelude to The Shed was an immersive performing arts event. It lasted from May 1, 2018 - May 13, 2018. The Preview photographed was taken on April 29, 2018 and the VIP event was taken on April 30, 2018. The event was meant to mimic the types of interdisciplinary art that will be on view at The Shed in a year's time. It was free and open to the public. It included an educational element early some days called 'Schema for a School.' The program wo","The event included multiple elements throughout the day. Inside the structure was 'A stroll through the fun palace.'  The Shed was inspired by Cedric Price's undeveloped idea or architecture. During this event, architects and students would come by the public with plats full of copies of sketches and photographs of Cedric's work to provide a context for The Shed-like structure on the lot. The Shed-like structure was designed by Kunle Adeyemi of",,,,,,,,4/29/18,11/20/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Content Creators,Elland Road Partners,Eastern Rail Yard,The Shed"
IMG_4540.JPG,98800703,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet"
IMG_4463.JPG,98800702,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
IMG_4429.JPG,98800701,6861574,New,"Elland Road Partners",,,,,,,,,,,,,,,,,,,10/25/18,11/19/19,4032,3024,"Photographers,Sarah Bellet,Content Creators,Elland Road Partners"
